date,m_total_calories,rhr
20160101,2792,72
20160102,2047,65
20160103,2201,62
20160104,2624,67
20160105,2169,64
20160106,3011,59
20160107,1893,62
20160108,3035,56
20160109,1946,57
20160110,2890,56
20160111,2815,56
20160112,3243,57
20160113,2494,56
20160114,2885,59
20160115,2592,54
20160116,2249,57
20160117,2102,54
20160118,2739,53
20160119,2785,54
20160120,2470,59
20160121,2726,59
20160122,3031,53
20160123,1997,59
20160124,1927,56
20160125,2288,55
20160126,2993,57
20160127,2160,59
20160128,2802,65
20160129,2262,57
20160130,2069,52
20160131,2123,53
20160201,2519,65
20160202,2541,52
20160203,2568,60
20160204,2082,64
20160205,2961,56
20160206,1980,60
20160207,2131,62
20160208,2090,62
20160209,3228,60
20160210,2102,63
20160211,2535,63
20160212,2662,59
20160213,2382,57
20160214,2256,61
20160215,2813,54
20160216,1237,57
